Date,Adj Close
2022-05-23,73249.390625
2022-05-24,74256.8046875
2022-05-25,74684.75
2022-05-26,74921.015625
2022-05-27,74515.671875
2022-05-30,75247.5078125
2022-05-31,77504.6953125
2022-06-01,76189.203125
2022-06-02,75731.3515625
2022-06-03,76317.8046875
2022-06-06,74573.015625
2022-06-07,71525.40625
2022-06-08,70521.828125
2022-06-09,70294.4609375
2022-06-10,69821.84375
2022-06-13,68430.734375
2022-06-14,68075.1015625
2022-06-15,68314.109375
2022-06-16,67051.3671875
2022-06-17,67997.546875
2022-06-20,66527.2890625
2022-06-21,67964.6015625
2022-06-22,67913.75
2022-06-23,68877.5546875
2022-06-24,70421.4609375
2022-06-27,71088.9765625
2022-06-28,72133.921875
2022-06-29,71390.40625
2022-06-30,70668.8984375
2022-07-01,72059.703125
2022-07-04,71642.640625
2022-07-05,71088.375
2022-07-06,73093.6796875
2022-07-07,75197.4453125
2022-07-08,75903.1796875
2022-07-11,76233.4609375
2022-07-12,76521.71875
2022-07-13,77129.6953125
2022-07-14,77270.5703125
2022-07-15,79409.7890625
2022-07-18,80591.96875
2022-07-19,79792.7578125
2022-07-20,79635.8671875
2022-07-21,80028.921875
2022-07-22,79252.5703125
2022-07-25,80683.34375
2022-07-26,80000.7734375
2022-07-27,80859.46875
2022-07-28,83040.8671875
2022-07-29,83812.4609375
2022-08-01,86944.453125
2022-08-02,88167.171875
2022-08-03,88732.9296875
2022-08-04,88705.78125
2022-08-05,88889.421875
2022-08-08,87711.5546875
2022-08-10,83460.9375
2022-08-11,82495.109375
2022-08-12,83125.2109375
2022-08-16,86965.5546875
2022-08-17,86847.7109375
2022-08-18,87585.6015625
2022-08-19,86820.0078125
2022-08-22,84822.5
2022-08-23,85889.625
2022-08-24,85258.71875
2022-08-25,85439.203125
2022-08-26,85266.46875
2022-08-29,84412.921875
2022-08-30,85359.1640625
2022-09-01,85136.9765625
2022-09-02,84351.1796875
2022-09-05,84248.328125
2022-09-06,85251.921875
2022-09-07,85127.5234375
2022-09-08,85390.609375
2022-09-09,84202.3359375
2022-09-12,85802.4765625
2022-09-13,85545.4453125
2022-09-14,86065.8671875
2022-09-15,92862.1484375
2022-09-16,86107.0078125
2022-09-19,86346.9375
2022-09-20,85655.1875
2022-09-21,84275.9296875
2022-09-22,84505.765625
2022-09-23,82593.546875
2022-09-26,79150.921875
2022-09-27,79825.6328125
2022-09-28,80411.25
2022-09-29,79616.59375
2022-09-30,81649.0078125
2022-10-03,80618.78125
2022-10-04,82819.8359375
2022-10-06,82434.5546875
2022-10-07,82764.0390625
2022-10-10,82296.5234375
2022-10-11,81075.546875
2022-10-12,82476.109375
2022-10-13,82106.78125
2022-10-14,81344.6328125
2022-10-17,82262.375
2022-10-18,83082.5078125
2022-10-19,83143.8125
2022-10-20,84166.0859375
2022-10-21,86218.9453125
2022-10-24,86285.6953125
2022-10-25,87336.9296875
2022-10-27,87356.921875
2022-10-28,89362.234375
2022-10-31,90760.84375
2022-11-01,90824.0390625
2022-11-02,90614.6484375
2022-11-03,90652.0
2022-11-04,91241.953125
2022-11-07,94893.6640625
2022-11-09,87011.5546875
2022-11-10,87462.71875
2022-11-11,86150.5546875
2022-11-14,86174.0078125
2022-11-15,87568.3046875
2022-11-16,87680.0546875
2022-11-17,87887.5
2022-11-18,88089.7421875
2022-11-21,89094.2109375
2022-11-22,88953.2109375
2022-11-23,88970.15625
2022-11-24,89401.640625
2022-11-25,89901.578125
2022-11-28,91530.71875
2022-11-29,92562.0390625
2022-11-30,93554.3984375
2022-12-01,94322.328125
2022-12-02,94551.0234375
2022-12-05,94670.5234375
2022-12-06,94513.71875
2022-12-07,92882.2734375
2022-12-08,91089.3359375
2022-12-09,91507.625
2022-12-12,91390.578125
2022-12-13,90966.8984375
2022-12-14,91162.390625
2022-12-15,90869.796875
2022-12-16,89109.7578125
2022-12-19,89913.9296875
2022-12-20,89002.0078125
2022-12-21,88189.9921875
2022-12-22,88189.7890625
2022-12-23,86068.109375
2022-12-26,87593.65625
2022-12-27,88087.1875
2022-12-28,87920.296875
2022-12-29,87565.0078125
2022-12-30,88532.4765625
2023-01-02,88048.2421875
2023-01-03,88873.1640625
2023-01-04,88009.2890625
2023-01-05,91272.7265625
2023-01-06,93138.3671875
2023-01-09,93444.4609375
2023-01-10,94160.7890625
2023-01-11,91138.9375
2023-01-12,89515.2421875
2023-01-13,89709.9375
2023-01-16,89225.3515625
2023-01-17,89523.7421875
2023-01-18,90193.8203125
2023-01-19,90480.9609375
2023-01-20,89553.9921875
2023-01-23,90277.3203125
2023-01-24,90411.4609375
2023-01-25,89568.7421875
2023-01-27,88258.1328125
2023-01-30,89260.8984375
2023-01-31,90866.34375
2023-02-01,91958.359375
2023-02-02,92814.234375
2023-02-03,92850.2265625
2023-02-06,92674.734375
2023-02-07,91736.765625
2023-02-08,92272.546875
2023-02-09,88810.0625
2023-02-10,89067.90625
2023-02-13,88800.9140625
2023-02-14,88047.0390625
2023-02-15,88852.46875
2023-02-16,89212.796875
2023-02-17,88736.71875
2023-02-20,89178.1015625
2023-02-21,89957.203125
2023-02-22,87658.296875
2023-02-23,86730.8515625
2023-02-24,86800.703125
2023-02-27,85143.1015625
2023-02-28,85256.6015625
2023-03-01,86068.6015625
2023-03-02,86802.703125
2023-03-03,86363.1484375
2023-03-06,86715.3515625
2023-03-08,86752.796875
2023-03-09,85596.8984375
2023-03-10,85111.203125
2023-03-13,83076.296875
2023-03-14,82492.296875
2023-03-15,82107.1015625
2023-03-16,83140.703125
2023-03-17,82901.796875
2023-03-20,83559.953125
2023-03-21,83746.0
2023-03-22,84399.8515625
2023-03-23,84164.6484375
2023-03-24,83878.5
2023-03-27,83709.75
2023-03-28,82365.3515625
2023-03-29,82012.0
2023-03-31,84047.203125
2023-04-03,84400.8515625
2023-04-05,83949.8984375
2023-04-06,84005.546875
2023-04-10,84398.453125
2023-04-11,84617.0
2023-04-12,85456.25
2023-04-13,85516.953125
2023-04-17,85376.3515625
2023-04-18,86821.3515625
2023-04-19,85837.25
2023-04-20,86502.6484375
2023-04-21,86517.3984375
2023-04-24,86896.1484375
2023-04-25,86561.453125
2023-04-26,87231.203125
2023-04-27,87455.8984375
2023-04-28,89006.796875
2023-05-02,88596.8984375
2023-05-03,93559.796875
2023-05-04,95110.796875
2023-05-05,98614.046875
2023-05-08,97730.6484375
2023-05-09,97499.75
2023-05-10,97229.3515625
2023-05-11,97361.0
2023-05-12,96689.1484375
2023-05-15,96900.8984375
2023-05-16,96551.8515625
2023-05-17,97655.1015625
2023-05-18,97060.703125
2023-05-19,96236.6484375
